cat,val1
01.01.2021+00:0000:00,0.00
01.01.2021+00:0001:00,0.00
01.01.2021+00:0002:00,0.00
01.01.2021+00:0003:00,0.00
01.01.2021+00:0004:00,0.00
01.01.2021+00:0005:00,0.00
01.01.2021+00:0006:00,0.00
01.01.2021+00:0007:00,0.00
01.01.2021+00:0008:00,0.00
01.01.2021+00:0009:00,0.00
01.01.2021+00:0010:00,0.00
01.01.2021+00:0011:00,0.00
01.01.2021+00:0012:00,0.00
01.01.2021+00:0013:00,0.00
01.01.2021+00:0014:00,0.00
01.01.2021+00:0015:00,0.00
01.01.2021+00:0016:00,0.00
01.01.2021+00:0017:00,0.00
01.01.2021+00:0018:00,0.00
01.01.2021+00:0019:00,0.00
01.01.2021+00:0020:00,0.00
01.01.2021+00:0021:00,1993.90
01.01.2021+00:0022:00,894.90
01.01.2021+00:0023:00,0.00
02.01.2021+00:0000:00,0.00
02.01.2021+00:0001:00,0.00
02.01.2021+00:0002:00,0.00
02.01.2021+00:0003:00,0.00
02.01.2021+00:0004:00,0.00
02.01.2021+00:0005:00,0.00
02.01.2021+00:0006:00,0.00
02.01.2021+00:0007:00,0.00
02.01.2021+00:0008:00,0.00
02.01.2021+00:0009:00,0.00
02.01.2021+00:0010:00,0.00
02.01.2021+00:0011:00,0.00
02.01.2021+00:0012:00,0.00
02.01.2021+00:0013:00,0.00
02.01.2021+00:0014:00,12230.40
02.01.2021+00:0015:00,9843.60
02.01.2021+00:0016:00,0.00
02.01.2021+00:0017:00,0.00
02.01.2021+00:0018:00,0.00
02.01.2021+00:0019:00,15927.60
02.01.2021+00:0020:00,0.00
02.01.2021+00:0021:00,6536.40
02.01.2021+00:0022:00,1653.60
02.01.2021+00:0023:00,0.00
03.01.2021+00:0000:00,0.00
03.01.2021+00:0001:00,0.00
03.01.2021+00:0002:00,0.00
03.01.2021+00:0003:00,0.00
03.01.2021+00:0004:00,0.00
03.01.2021+00:0005:00,0.00
03.01.2021+00:0006:00,0.00
03.01.2021+00:0007:00,0.00
03.01.2021+00:0008:00,0.00
03.01.2021+00:0009:00,0.00
03.01.2021+00:0010:00,0.00
03.01.2021+00:0011:00,0.00
03.01.2021+00:0012:00,0.00
03.01.2021+00:0013:00,0.00
03.01.2021+00:0014:00,0.00
03.01.2021+00:0015:00,0.00
03.01.2021+00:0016:00,0.00
03.01.2021+00:0017:00,0.00
03.01.2021+00:0018:00,0.00
03.01.2021+00:0019:00,0.00
03.01.2021+00:0020:00,0.00
03.01.2021+00:0021:00,1674.00
03.01.2021+00:0022:00,0.00
03.01.2021+00:0023:00,0.00
04.01.2021+00:0000:00,0.00
04.01.2021+00:0001:00,0.00
04.01.2021+00:0002:00,0.00
04.01.2021+00:0003:00,0.00
04.01.2021+00:0004:00,0.00
04.01.2021+00:0005:00,0.00
04.01.2021+00:0006:00,0.00
04.01.2021+00:0007:00,28932.30
04.01.2021+00:0008:00,7986.60
04.01.2021+00:0009:00,1071.00
04.01.2021+00:0010:00,0.00
04.01.2021+00:0011:00,0.00
04.01.2021+00:0012:00,0.00
04.01.2021+00:0013:00,0.00
04.01.2021+00:0014:00,0.00
04.01.2021+00:0015:00,0.00
04.01.2021+00:0016:00,0.00
04.01.2021+00:0017:00,0.00
04.01.2021+00:0018:00,0.00
04.01.2021+00:0019:00,0.00
04.01.2021+00:0020:00,0.00
04.01.2021+00:0021:00,5615.10
04.01.2021+00:0022:00,0.00
04.01.2021+00:0023:00,0.00
05.01.2021+00:0000:00,0.00
05.01.2021+00:0001:00,0.00
05.01.2021+00:0002:00,0.00
05.01.2021+00:0003:00,0.00
05.01.2021+00:0004:00,0.00
05.01.2021+00:0005:00,0.00
05.01.2021+00:0006:00,0.00
05.01.2021+00:0007:00,0.00
05.01.2021+00:0008:00,0.00
05.01.2021+00:0009:00,0.00
05.01.2021+00:0010:00,0.00
05.01.2021+00:0011:00,0.00
05.01.2021+00:0012:00,0.00
05.01.2021+00:0013:00,0.00
05.01.2021+00:0014:00,0.00
05.01.2021+00:0015:00,0.00
05.01.2021+00:0016:00,0.00
05.01.2021+00:0017:00,0.00
05.01.2021+00:0018:00,0.00
05.01.2021+00:0019:00,0.00
05.01.2021+00:0020:00,0.00
05.01.2021+00:0021:00,0.00
05.01.2021+00:0022:00,0.00
05.01.2021+00:0023:00,0.00
06.01.2021+00:0000:00,0.00
06.01.2021+00:0001:00,0.00
06.01.2021+00:0002:00,0.00
06.01.2021+00:0003:00,0.00
06.01.2021+00:0004:00,0.00
06.01.2021+00:0005:00,0.00
06.01.2021+00:0006:00,0.00
06.01.2021+00:0007:00,0.00
06.01.2021+00:0008:00,0.00
06.01.2021+00:0009:00,0.00
06.01.2021+00:0010:00,0.00
06.01.2021+00:0011:00,0.00
06.01.2021+00:0012:00,0.00
06.01.2021+00:0013:00,0.00
06.01.2021+00:0014:00,0.00
06.01.2021+00:0015:00,0.00
06.01.2021+00:0016:00,0.00
06.01.2021+00:0017:00,0.00
06.01.2021+00:0018:00,0.00
06.01.2021+00:0019:00,0.00
06.01.2021+00:0020:00,0.00
06.01.2021+00:0021:00,0.00
06.01.2021+00:0022:00,0.00
06.01.2021+00:0023:00,0.00
07.01.2021+00:0000:00,0.00
07.01.2021+00:0001:00,0.00
07.01.2021+00:0002:00,0.00
07.01.2021+00:0003:00,0.00
07.01.2021+00:0004:00,0.00
07.01.2021+00:0005:00,0.00
07.01.2021+00:0006:00,0.00
07.01.2021+00:0007:00,0.00
07.01.2021+00:0008:00,0.00
07.01.2021+00:0009:00,0.00
07.01.2021+00:0010:00,0.00
07.01.2021+00:0011:00,0.00
07.01.2021+00:0012:00,0.00
07.01.2021+00:0013:00,0.00
07.01.2021+00:0014:00,0.00
07.01.2021+00:0015:00,0.00
07.01.2021+00:0016:00,0.00
07.01.2021+00:0017:00,0.00
07.01.2021+00:0018:00,0.00
07.01.2021+00:0019:00,0.00
07.01.2021+00:0020:00,0.00
07.01.2021+00:0021:00,0.00
07.01.2021+00:0022:00,0.00
07.01.2021+00:0023:00,0.00
08.01.2021+00:0000:00,0.00
08.01.2021+00:0001:00,0.00
08.01.2021+00:0002:00,0.00
08.01.2021+00:0003:00,0.00
08.01.2021+00:0004:00,0.00
08.01.2021+00:0005:00,0.00
08.01.2021+00:0006:00,0.00
08.01.2021+00:0007:00,0.00
08.01.2021+00:0008:00,0.00
08.01.2021+00:0009:00,0.00
08.01.2021+00:0010:00,0.00
08.01.2021+00:0011:00,0.00
08.01.2021+00:0012:00,0.00
08.01.2021+00:0013:00,0.00
08.01.2021+00:0014:00,0.00
08.01.2021+00:0015:00,0.00
08.01.2021+00:0016:00,0.00
08.01.2021+00:0017:00,0.00
08.01.2021+00:0018:00,0.00
08.01.2021+00:0019:00,0.00
08.01.2021+00:0020:00,0.00
08.01.2021+00:0021:00,0.00
08.01.2021+00:0022:00,0.00
08.01.2021+00:0023:00,0.00
